geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
421010037021008,1302,West Passyunk,,1,0,4260000
421010037021009,1302,West Passyunk,,117,50,4260000
421010037021010,1302,West Passyunk,,155,50,4260000
421010037021011,1302,West Passyunk,,107,41,4260000
421010037021012,1302,West Passyunk,,89,33,4260000
421010037021013,1302,West Passyunk,,86,40,4260000
421010037021014,1302,West Passyunk,,0,0,4260000
421010037021015,1302,West Passyunk,,0,0,4260000
421010037021016,1302,West Passyunk,,50,20,4260000
421010037022000,1302,West Passyunk,,115,49,4260000
421010037022001,1302,West Passyunk,,145,55,4260000
421010037022002,1302,West Passyunk,,112,48,4260000
421010037022003,1302,West Passyunk,,118,62,4260000
421010037022004,1302,West Passyunk,,127,58,4260000
421010037022005,1302,West Passyunk,,133,55,4260000
421010037022006,1302,West Passyunk,,132,54,4260000
421010037022007,1302,West Passyunk,,144,57,4260000
421010037022008,1302,West Passyunk,,134,53,4260000
421010037022009,1302,West Passyunk,,63,21,4260000
421010037022010,1302,West Passyunk,,73,33,4260000
421010037022011,1302,West Passyunk,,47,27,4260000
421010037022012,1302,West Passyunk,,129,57,4260000
421010037023000,1302,West Passyunk,,0,0,4260000
421010037023001,1302,West Passyunk,,147,57,4260000
421010037023002,1302,West Passyunk,,158,56,4260000
421010037023003,1302,West Passyunk,,179,55,4260000
421010037023004,1302,West Passyunk,,83,45,4260000
421010037023005,1302,West Passyunk,,85,48,4260000
421010037023006,1302,West Passyunk,,0,0,4260000
421010037023007,1302,West Passyunk,,0,0,4260000
421010028011005,1303,East Passyunk,,103,54,4260000
421010028011006,1303,East Passyunk,,79,42,4260000
421010028011007,1303,East Passyunk,,274,111,4260000
421010028012001,1303,East Passyunk,,161,54,4260000
421010028012002,1303,East Passyunk,,108,50,4260000
421010028012004,1303,East Passyunk,,141,49,4260000
421010028012007,1303,East Passyunk,,132,47,4260000
421010028012008,1303,East Passyunk,,130,53,4260000
421010028012011,1303,East Passyunk,,130,46,4260000
421010028021000,1303,East Passyunk,,135,49,4260000
421010028021001,1303,East Passyunk,,88,33,4260000
421010028021002,1303,East Passyunk,,105,44,4260000
421010028021003,1303,East Passyunk,,151,55,4260000
421010028021004,1303,East Passyunk,,120,57,4260000
421010028021005,1303,East Passyunk,,125,55,4260000
421010028021006,1303,East Passyunk,,148,60,4260000
421010028021007,1303,East Passyunk,,46,28,4260000
421010028021008,1303,East Passyunk,,138,57,4260000
421010028022000,1303,East Passyunk,,165,74,4260000
421010028022001,1303,East Passyunk,,119,51,4260000
421010028022002,1303,East Passyunk,,45,26,4260000
421010028022003,1303,East Passyunk,,88,43,4260000
421010028022004,1303,East Passyunk,,74,28,4260000
421010028022005,1303,East Passyunk,,113,54,4260000
421010028022006,1303,East Passyunk,,139,57,4260000
421010028022007,1303,East Passyunk,,130,63,4260000
421010028022008,1303,East Passyunk,,50,37,4260000
421010028022009,1303,East Passyunk,,0,0,4260000
421010028022010,1303,East Passyunk,,20,12,4260000
421010028023002,1303,East Passyunk,,76,41,4260000
421010028023003,1303,East Passyunk,,62,31,4260000
421010028023004,1303,East Passyunk,,100,49,4260000
421010028023005,1303,East Passyunk,,124,53,4260000
421010028023006,1303,East Passyunk,,119,57,4260000
421010028023007,1303,East Passyunk,,118,45,4260000
421010028023008,1303,East Passyunk,,118,44,4260000
421010028023009,1303,East Passyunk,,130,52,4260000
421010028024005,1303,East Passyunk,,145,75,4260000
421010028024006,1303,East Passyunk,,111,60,4260000
421010028024007,1303,East Passyunk,,87,51,4260000
421010028024008,1303,East Passyunk,,115,62,4260000
421010028024009,1303,East Passyunk,,107,59,4260000
421010028024010,1303,East Passyunk,,95,45,4260000
421010029001000,1303,East Passyunk,,67,44,4260000
421010029001001,1303,East Passyunk,,95,46,4260000
421010029001002,1303,East Passyunk,,94,58,4260000
421010029001003,1303,East Passyunk,,114,47,4260000
421010029001004,1303,East Passyunk,,99,52,4260000
421010029001005,1303,East Passyunk,,125,53,4260000
421010029001006,1303,East Passyunk,,0,0,4260000
421010029001012,1303,East Passyunk,,176,93,4260000
421010029001013,1303,East Passyunk,,148,67,4260000
421010029001014,1303,East Passyunk,,51,31,4260000
421010029001015,1303,East Passyunk,,92,43,4260000
421010029001016,1303,East Passyunk,,37,20,4260000
421010029001017,1303,East Passyunk,,81,41,4260000
421010029001018,1303,East Passyunk,,74,40,4260000
421010029001019,1303,East Passyunk,,62,34,4260000
421010029001020,1303,East Passyunk,,92,46,4260000
421010029001021,1303,East Passyunk,,50,36,4260000
